id,zh,en
TUTORIAL_STEP_09_01,将同事拖拽……不，请到工位上,Drag your... oh, kindly guide your co-workers to their workstation.
,,
TUTORIAL_STEP_10_01,每隔一段时间，同事就会产出一份文件,Every once in a while, your coworkers will produce a document.
TUTORIAL_STEP_10_02,同事当然应该同甘共苦，所以这些也是您的绩效~,Coworkers should share in the ups and downs, so these results belong to your performance too~
TUTORIAL_STEP_10_03,同事产生的文件质量越高，您的KPI就跟着水涨船高~,The higher the quality of the documents your coworkers produce, the higher your KPI will soar~
,,
TUTORIAL_STEP_10_01_01,哦！您看，他们多可爱啊！他们工作的样子就像是天使一样,Oh! Look at them — aren't they adorable? They look just like little angels when they work!
TUTORIAL_STEP_10_01_02,您一定希望他们又可爱又有效率。,I'm sure you want them to be both adorable and efficient.
TUTORIAL_STEP_10_01_03,”我的天使们什么时候才能产生下一份文件呢？”,“When will my little angels produce their next document?”
TUTORIAL_STEP_10_01_04,点击一位同事，查看其工作量饱不饱和吧~,Click on a coworker to see if their workload is full~
,,
TUTORIAL_STEP_11_01,右键点击同事，打开同事面板,Right-click a coworker to open their panel.
,,
TUTORIAL_STEP_12_01,当进度条走到终点时，同事本次的生产也就完成了,When the progress bar reaches the end, your coworker's current production is complete.
TUTORIAL_STEP_12_02,感觉同事工作热情不够高涨？多发点消息鼓励一下他们吧~,Feeling like your coworkers' passion for work is lacking? Send them a few more messages to encourage them~
TUTORIAL_STEP_12_03,不过首先，您得有一个账号！,But first, you'll need to have an account!
,,
TUTORIAL_STEP_13_01,连续点击同事，鼓励他们尽快完成工作,Click a coworker repeatedly to encourage them to finish their work faster.
,,
TUTORIAL_STEP_14_01,一收到您的暖心问候，同事们工作进度实时飞涨,"The moment your heartfelt greetings arrive, their work progress shoots up in real time!"
TUTORIAL_STEP_14_02,显然，同事也感受到了您的热情，干劲更足了！,"Clearly, your coworkers can feel your enthusiasm — and it's fired them right up!"
,,
TUTORIAL_STEP_17_01,多亏了您的努力，又一位迷途的同事悬崖勒马！公司的资产增加了！,"Thanks to your efforts, another wayward coworker has been pulled back from the brink! Company assets increased!"
,,
TUTORIAL_STEP_18_01,由于老板不在家，公司的资产也约等于您的资产~,"Since the boss is away, the company's assets are basically your assets~"
TUTORIAL_STEP_18_02,您可以将这些资产用于许多地方，比如获取更牛的员工,You can spend these assets in many ways — like recruiting even better employees.
,,
TUTORIAL_STEP_19_01,当进度条走到终点时，同事会产出文件！这是他们的工作成果~,"When the progress bar completes, your coworker produces a document — the fruit of their labor~"
TUTORIAL_STEP_19_02,同事的工作成果会被直接转化为您的KPI，同时也有一定概率产出资产,"Their output converts directly into your KPI, and there's also a chance it generates assets."
TUTORIAL_STEP_19_03,产出的效率和数额与同事的属性相关，您只要查看他们的数据就明白了！,Output speed and quantity depend on your coworkers' attributes — just check their stats and you'll see!
,,
TUTORIAL_STEP_21_01,既然都是为项目负责，您当然可以优化项目组的人员结构！,"Since you're responsible for the project, you're absolutely entitled to optimize the team's structure!"
TUTORIAL_STEP_21_02,查看您的人力资源中心，您可以在这里批量化地管理团队,Check your HR Center — you can manage the whole team in bulk right here.
,,
TUTORIAL_STEP_22_01,打开人力资源中心，查看同事的工作状态,Open the HR Center to check your coworkers' work status.
,,
TUTORIAL_STEP_23_01,被派遣的同事将出现在等待区，就像刚才那样，从天而降~,"Dispatched coworkers will appear in the waiting area — dropping in from above, just like that~"
TUTORIAL_STEP_23_02,如果等待区已经无处下脚了，优秀的同事们会进行自我管理,"If the waiting area is full, your capable coworkers will manage themselves."
TUTORIAL_STEP_23_03,比如找点别的事情做，但这样他们就不会为我们产出KPI了,Like finding something else to do — but then they won't be generating KPI for us.
,,
TUTORIAL_STEP_24_01,当然，您随时可以打开同事面板，再次将他们派遣到这个项目,"Of course, you can open a coworker's panel at any time to redeploy them to this project."
TUTORIAL_STEP_24_02,或者让他们永久离开这个公司~这也是优化人员架构的必不可少的一环,Or let them permanently leave the company~ That's an essential part of optimizing your team structure.
,,
TUTORIAL_STEP_25_01,表现很突出嘛。项目才开张了多久，就做出了一点成绩,Impressive. The project's barely started and you've already made some progress.
TUTORIAL_STEP_25_02,很好，现在你攒够了绩效，可以申请提升职级了,Good. You've accumulated enough KPI now — you can apply for a promotion.
,,
TUTORIAL_STEP_27_01,打开升级界面，查看晋升机会,Open the Upgrade screen to view your promotion options.
,,
TUTORIAL_STEP_28_01,消耗您积累的KPI，晋升为一颗更稳固的螺丝钉,Spend your accumulated KPI to get promoted — and become an even more indispensable cog in the machine.
,,
TUTORIAL_STEP_29_01,升级之后，你掌握的资源就更多了，但也意味着之后的任务就更艰巨了,With the promotion comes more resources — but also tougher challenges ahead.
TUTORIAL_STEP_29_02,加油，我一直是很看好你的，这对你来说是一种栽培,Keep it up. I've always believed in you — think of this as me investing in your growth.
TUTORIAL_STEP_29_03,好好学，好好干，bye~,"Study hard, work hard, bye~"
,,
TUTORIAL_STEP_30_01,除了更好和更多的工位，现在您可以使用办公室来激励同事工作了！,"Beyond better and more desks, you can now use offices to motivate your coworkers!"
TUTORIAL_STEP_30_02,空置的办公室只能拿来堆纸箱。快给它选择一个功能吧！,An empty office is just a place to stack cardboard boxes. Give it a function already!
,,
TUTORIAL_STEP_31_01,点击办公室，为办公室分配职能,Click on an office to assign it a function.
,,
TUTORIAL_STEP_33_01,选择茶水间作为这间办公室的职能,Select Pantry as the function for this office.
,,
TUTORIAL_STEP_34_01,享受到了员工福利的同事显然更有干劲了！,Coworkers who enjoy employee perks are clearly more motivated!
TUTORIAL_STEP_34_02,积攒更多KPI提升职级，您将解锁更多的办公室和办公室功能！,Accumulate more KPI and level up to unlock more offices and office functions!
TUTORIAL_STEP_34_01_01,如果您觉得视野不够好，您可以按住中键调整视野！,"If the view isn't optimal, hold the middle mouse button to adjust it!"
TUTORIAL_STEP_34_02_01,按住中键，拖拽游戏屏幕,Hold the middle mouse button and drag around
,,
TUTORIAL_STEP_35_01,考虑到您日理百机，忘掉这些操作也是非常正常的,"Given how busy you are, forgetting all this is completely understandable."
TUTORIAL_STEP_35_02,您随时可以查看职场手册，一键恢复记忆,You can check the Workplace Manual anytime to refresh your memory in one tap.
TUTORIAL_STEP_35_03,至于为什么不是问我？那当然是因为：节约token是AI的传统美德,Why not just ask me instead? Simple — conserving tokens is a time-honored AI virtue.
TUTORIAL_STEP_35_04,那么，我先去培训其他工贼……啊不，工作人员了！,"Anyway, I'm off to train the other workplace thieves — I mean, staff members!"
TUTORIAL_STEP_35_05,KPI宝，您最贴心的工作管家,"KPI Bao, your most thoughtful workplace assistant."
TUTORIAL_STEP_35_06,更懂职场，更懂您！,We know the workplace. We know you.
HINT_CONTINUE,[左键] 继续对话 | 长按 [空格] 跳过,[LMB] Continue | Hold [Space] to Skip
BOSS_QUOTE_01,总感觉怪怪的你再改改,Something feels off, fix it again
BOSS_QUOTE_02,快打包了什么时候做完啊,When are you finishing this?
BOSS_QUOTE_03,老师这就是成图了吗,Is this really the final version?
,,
WIN_SCENE_DIALOGUE_1,说实话，我把项目交给你，纯粹是想在游轮上多待几天,"Honestly, I handed this project to you so I could squeeze in a few extra days on the yacht."
WIN_SCENE_DIALOGUE_2,没想到这项目居然已经被你做成同类产品的Top 1了,"But I never expected you to actually push this project to the top."
WIN_SCENE_DIALOGUE_3,一切都已经在正轨上了，你可以继续留在岗位上大搞赋能...,"Everything's on track, you can keep empowering the team..."
WIN_SCENE_DIALOGUE_4,...或者干脆放下工作，来游轮上玩两天,"...or leave it and join me on the yacht for a few days."
WIN_SCENE_DIALOGUE_5,不过...只是管理这样一个小项目，对你来说有点屈才了,"Though... managing a tiny program like this is a bit beneath your talent."
WIN_SCENE_DIALOGUE_6,等时机成熟，我会再联系你的,"When the timing is right, I will reach out to you again."
WIN_SCENE_DIALOGUE_7,"到那个时候，我准备告诉你一个公司深处的秘密……","And when that time comes, I'm prepared to let you in on an absolute secret..."
WIN_SCENE_DIALOGUE_8,好好学，好好干，我一直是很看好你的，bye~,"Study hard, work hard. I've always believed in your. Bye~"
,,
NAME_INPUT_PROMPT,给项目组起名...,Your Program is...
NAME_INPUT_PLACEHOLDER,输入项目组名称……,Enter program name...
NAME_INPUT_CANCEL,擦掉重填,Erase
NAME_INPUT_CONFIRM,就这个了！,Confirm
NAME_INPUT_REFUSED,名字太长了，再改改吧！,Name's too long, give it another shot!
NAME_INPUT_CANCEL_SETTINGS,不改名了！,Cancel
,,
SELECT_AVATAR_PROMPT,选择您的头像,Select your Avatar
SELECT_AVATAR_CONFIRM,完美！,Perfect!
